"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 25 13:43:43 ICT 2023","Tue Apr 25 13:43:50 ICT 2023","6159","","test_2_negative","TestNegativeScenarios","","","test_login_wrong[Login with wrong password]",""
"passed","Tue Apr 25 13:44:37 ICT 2023","Tue Apr 25 13:44:44 ICT 2023","6939","","test_2_negative","TestNegativeScenarios","","","test_invalid_register[Registration with invalid date of birth]",""
"passed","Tue Apr 25 13:42:02 ICT 2023","Tue Apr 25 13:42:14 ICT 2023","11949","","test_1_positive","TestPositiveScenarios","","","test_positive_register[\u0110\u0103ng k\xfd th\xe0nh c\xf4ng v\u1edbi m\u1eadt kh\u1ea9u l\xe0 kho\u1ea3n tr\u1eafng]",""
"passed","Tue Apr 25 13:41:41 ICT 2023","Tue Apr 25 13:41:54 ICT 2023","12471","","test_1_positive","TestPositiveScenarios","","","test_positive_register[\u0110\u0103ng k\xfd th\xe0nh c\xf4ng m\u1eadt kh\u1ea9u h\u1ee3p l\u1ec7]",""
"passed","Tue Apr 25 13:42:42 ICT 2023","Tue Apr 25 13:42:52 ICT 2023","10327","","test_1_positive","TestPositiveScenarios","","","test_positive_chpass[Thay \u0111\u1ed5i m\u1eadt kh\u1ea9u v\u1edbi m\u1eadt kh\u1ea9u kho\u1ea3n tr\u1eafng]",""
"passed","Tue Apr 25 13:44:52 ICT 2023","Tue Apr 25 13:45:01 ICT 2023","8365","","test_2_negative","TestNegativeScenarios","","","test_invalid_register[Register with password in Vietnamese]",""
"passed","Tue Apr 25 13:42:22 ICT 2023","Tue Apr 25 13:42:33 ICT 2023","10876","","test_1_positive","TestPositiveScenarios","","","test_positive_chpass[Thay \u0111\u1ed5i password v\u1edbi k\xfd t\u1ef1 cho ph\xe9p]",""
"passed","Tue Apr 25 13:43:32 ICT 2023","Tue Apr 25 13:43:35 ICT 2023","2868","","test_2_negative","TestNegativeScenarios","","","test_login_wrong[Login with an account that doesn't exist]",""
"passed","Tue Apr 25 13:41:20 ICT 2023","Tue Apr 25 13:41:33 ICT 2023","12866","","test_1_positive","TestPositiveScenarios","","","test_positive_register[\u0110\u0103ng k\xfd th\xe0nh c\xf4ng v\u1edbi k\xfd t\u1ef1 cho ph\xe9p]",""
"passed","Tue Apr 25 13:44:24 ICT 2023","Tue Apr 25 13:44:29 ICT 2023","5195","","test_2_negative","TestNegativeScenarios","","","test_invalid_password[Change password with password invalid character]",""
"passed","Tue Apr 25 13:43:01 ICT 2023","Tue Apr 25 13:43:11 ICT 2023","10497","","test_1_positive","TestPositiveScenarios","","","test_positive_chpass[Thay \u0111\u1ed5i m\u1eadt kh\u1ea9u v\u1edbi m\u1eadt kh\u1ea9u h\u1ee3p l\u1ec7]",""
"passed","Tue Apr 25 13:44:10 ICT 2023","Tue Apr 25 13:44:15 ICT 2023","5092","","test_2_negative","TestNegativeScenarios","","","test_invalid_password[Change password with password in Vietnamese]",""
"passed","Tue Apr 25 13:43:58 ICT 2023","Tue Apr 25 13:44:02 ICT 2023","3841","","test_2_negative","TestNegativeScenarios","","","test_unregistered_user[Change password with an account that doesn't exist]",""
"passed","Tue Apr 25 13:43:20 ICT 2023","Tue Apr 25 13:43:24 ICT 2023","4066","","test_1_positive","TestPositiveScenarios","","","test_positive_login[\u0110\u0103ng nh\u1eadp th\xe0nh c\xf4ng]",""
"passed","Tue Apr 25 13:45:09 ICT 2023","Tue Apr 25 13:45:17 ICT 2023","8335","","test_2_negative","TestNegativeScenarios","","","test_invalid_register[Register with password with an invalid character]",""
